pull_time,club_name,active,console,club_id,division,ten_match_record,total_games,wins,losses,draws,goals_scored,goals_per_match,goals_conceded,goals_conceded_per_match,goal_difference,promotions,holds,relegations,best_season_div,best_season_points,region,stadium,total_rank_points,league_points,cup_points,div_1_titles,other_div_titles,total_trophies
2023-03-20 18:05:16,SC FC,Yes,xboxone,21284,1,WWWWWWLDDD,269,164,40,65,729,2.71,458,1.7,271,14,12,5,1,25,British Isles,Mercedes-Benz Stadium,4677,4677,0,5,10,15
2023-03-20 18:05:16,fantasticos fc,Yes,xboxone,5650484,1,WWWWWWLLDD,731,479,89,163,2068,2.83,1219,1.67,849,14,61,5,1,25,East Coast US,Parc des Princes,16370,16370,0,27,12,39
2023-03-20 18:05:16,Elbows Up,Yes,xboxone,109014,1,WWWWWWLLDD,448,215,86,147,841,1.88,692,1.54,149,17,22,8,1,23,East Coast US,Gtech Community Stadium,5344,5344,0,2,9,11
2023-03-20 18:05:16,Handis,Yes,xboxone,37999,2,WWWWWLLLLD,357,196,62,99,696,1.95,481,1.35,215,10,27,2,1,25,British Isles,Old Trafford,6454,6454,0,7,6,13
2023-03-20 18:05:16,Units 48,Yes,xboxone,1199,1,WWWWLLLDDD,582,278,107,197,1401,2.41,1184,2.03,217,21,30,12,1,24,British Isles,Units Arena,7028,7028,0,2,12,14
2023-03-20 18:05:16,FaqArnoldsMom,Yes,xboxone,10727274,1,WWWWWWWWWL,265,241,9,15,1320,4.98,363,1.37,957,9,24,0,1,25,Eastern Europe,Estadio LDA Ricardo E. Bochini,9285,9285,0,23,9,32
2023-03-20 18:05:16,Traga Lecce,Yes,xboxone,1040204,1,WWWWLLLDDD,609,309,96,204,1533,2.52,1267,2.08,266,19,39,10,1,24,East Coast US,Estadio de tu Madre,8423,8423,0,2,12,14
2023-03-20 18:05:16,Andrew8George,Yes,xboxone,7657844,1,WWWWWWWWLL,369,250,37,82,1216,3.3,662,1.79,554,12,26,3,1,25,East Coast US,Old Trafford,7913,7913,0,13,8,21
2023-03-20 18:05:16,YeahGornNapoli,Yes,xboxone,412184,1,WWWWWWWLDD,879,596,130,153,2601,2.96,1461,1.66,1140,14,78,5,1,25,British Isles,Estádio do SL Benfica,22598,22598,0,48,9,57
2023-03-20 18:05:16,GrupoSinChotos,Yes,xboxone,308719,1,WWWWWWWLLL,553,335,89,129,1567,2.83,948,1.71,619,14,44,5,1,25,Central America,Arcadio Solano,10982,10982,0,13,10,23
2023-03-20 18:05:16,Oh My Worddd,Yes,xboxone,4196374,1,WWWWWWWWLD,596,334,97,165,1520,2.55,1025,1.72,495,20,36,11,1,25,British Isles,Estadio Santiago Bernabéu,9683,9683,0,8,16,24
2023-03-20 18:05:16,agua sanitaria,Yes,xboxone,53949,1,WWWWWLLLLD,288,151,35,102,704,2.44,571,1.98,133,11,17,2,1,25,South America,gulag,4373,4373,0,4,5,9
2023-03-20 18:05:16,harley smells,Yes,xboxone,4215174,1,WWWWWWWLLL,580,275,94,211,1351,2.33,1204,2.08,147,17,37,8,1,25,British Isles,HKS lair,7391,7391,0,2,9,11
2023-03-20 18:05:16,HALA MADRID I,Yes,xboxone,13247934,1,WWWWWWWWWW,222,157,24,41,654,2.95,309,1.39,345,9,18,0,1,25,British Isles,Stadion Hanguk,5397,5397,0,7,8,15
2023-03-20 18:05:16,AE ROBRU,Yes,xboxone,2510504,1,WWWWWWLLDD,667,349,96,222,1557,2.33,1279,1.92,278,19,44,10,1,24,South America,Cívitas METROPOLITANO,9785,9785,0,8,9,17
2023-03-20 18:05:16,xMEXICAN GODSx,Yes,xboxone,1809509,2,WWWWLLLLLD,403,275,57,71,1411,3.5,706,1.75,705,10,34,2,1,25,Central America,San Siro,9419,9419,0,15,9,24
2023-03-20 18:05:16,BOOM BOOM,Yes,xboxone,386959,1,WWWWWWWWWW,429,298,46,85,1412,3.29,775,1.81,637,11,36,2,1,25,British Isles,Old Trafford,10141,10141,0,17,7,24
2023-03-20 18:05:16,Samba CFC,Yes,xboxone,111514,1,WWWWWWLLLL,355,186,68,101,885,2.49,641,1.81,244,12,23,3,1,25,East Coast US,Emirates Stadium,5383,5383,0,3,8,11
2023-03-20 18:05:16,Club Skorpion,Yes,xboxone,669064,1,WWWWWWWLLD,223,103,38,82,514,2.3,444,1.99,70,13,7,4,1,18,Central America,Estadio Benito Villamarín,2225,2225,0,0,8,8
2023-03-20 18:05:16,Kenilworth Dons,Yes,xboxone,43484,1,WWWWWWLLLL,475,278,53,144,1398,2.94,1033,2.17,365,16,29,7,1,25,British Isles,Stadion 23. Maj,7707,7707,0,9,7,16
2023-03-20 18:05:16,AND UNITED 2023,Yes,xboxone,10435749,1,WWWWWWLLLD,211,138,27,46,637,3.02,344,1.63,293,11,11,2,1,24,Eastern Europe,Cívitas METROPOLITANO,4039,4039,0,4,9,13
2023-03-20 18:05:16,Phitte,Yes,xboxone,5078174,1,WWWWWWLLDD,522,295,94,133,1413,2.71,940,1.8,473,13,41,4,1,24,Northern Europe,Old Trafford,9059,9059,0,4,11,15
2023-03-20 18:05:16,Milky Mess FC,Yes,xboxone,3465449,1,WWWWWLLLLD,312,189,45,78,832,2.67,478,1.53,354,11,22,2,1,25,British Isles,El Alcoraz,6051,6051,0,6,9,15
2023-03-20 18:05:16,omgaeee,Yes,xboxone,6155669,1,WWWWWWWLDD,398,235,52,111,1023,2.57,707,1.78,316,15,24,6,1,24,British Isles,Mercedes-Benz Stadium,6777,6777,0,5,13,18
2023-03-20 18:05:16,thury at cam,Yes,xboxone,13307424,1,WWWWWLLLDD,405,244,52,109,1302,3.21,915,2.26,387,15,24,6,1,25,East Coast US,El Grandioso,7075,7075,0,7,11,18
